Header_line;17
location;Oslo Norway
year_of_construction;1979
floor_area;8631
number_of_users;400
building_category;Sch
energy_label;B
dhw_heat_source;EB
sh_heat_source;ASHP, EB
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8138

;Electricity import;Electricity use;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;C;W/m2;m/s;deg;%
;Electricity imported ;Electricity for electric boiler;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;ElImp;ElBoil;Tout;SolGlob;WindSpd;WindDir;RH
2016-01-07T16:00:00+0100;276800.0;130800.0;-11.004675292968727;0.0;2.1063209;37.26391;0.69211245
2016-01-07T17:00:00+0100;263200.0;117200.0;-10.891668701171852;0.0;2.267267;27.532356;0.69684273
2016-01-07T18:00:00+0100;266400.0;122400.0;-10.710150146484352;0.0;1.7208533;37.016834;0.70964485
2016-01-07T19:00:00+0100;258400.0;120400.0;-10.350988769531227;0.0;2.0597954;41.81052;0.74014735
2016-01-07T20:00:00+0100;230800.0;120800.0;-10.157232666015602;0.0;1.8198012;45.13744;0.75975484
2016-01-07T21:00:00+0100;193200.0;119200.0;-9.719671630859352;1.5957154579175164e-14;1.5637857;39.589043;0.76881874
2016-01-07T22:00:00+0100;190400.0;120400.0;-9.528814697265602;1.596899310316344e-14;1.6621118;34.084377;0.7538034
2016-01-07T23:00:00+0100;178000.0;120000.0;-9.447668457031227;1.5980823917269603e-14;2.024429;31.317236;0.75415164
2016-01-08T00:00:00+0100;175200.0;119200.0;-9.409124755859352;1.6004481690540872e-14;1.5719666;37.258137;0.7711654
2016-01-08T01:00:00+0100;177600.0;119600.0;-9.369390869140602;1.600454336959779e-14;1.8009024;44.1428;0.7737146
2016-01-08T02:00:00+0100;175600.0;119600.0;-9.382513427734352;1.6036123046742682e-14;2.0750067;41.577755;0.7780647
2016-01-08T03:00:00+0100;177600.0;121600.0;-9.317816162109352;1.6036103772037397e-14;2.1054142;45.1595;0.78473306
2016-01-08T04:00:00+0100;182400.0;124400.0;-9.225988769531227;1.6051889755668784e-14;1.6338154;38.327896;0.77340955
2016-01-08T05:00:00+0100;179600.0;123600.0;-9.202612304687475;1.6059773110131836e-14;2.5349374;36.561474;0.77319753
2016-01-08T06:00:00+0100;194800.0;128800.0;-9.052862548828102;1.6075535964116874e-14;2.5690997;36.223732;0.76868117
2016-01-08T07:00:00+0100;248000.0;166000.0;-8.732702636718727;-9.624813292043025e-14;2.4991596;35.17846;0.7689405
2016-01-08T08:00:00+0100;370000.0;240000.0;-8.307745361328102;0.0;2.844926;37.077297;0.7843981
2016-01-08T09:00:00+0100;432800.0;238800.0;-8.221258544921852;1.8444444444444448;3.6068096;29.571926;0.7853901
2016-01-08T10:00:00+0100;432000.0;240000.0;-7.703619384765602;23.284444444444443;3.269478;30.373672;0.77728426
2016-01-08T11:00:00+0100;428000.0;240000.0;-7.581427001953102;42.72888888888889;2.8080707;36.826553;0.7747999
2016-01-08T12:00:00+0100;428400.0;240400.0;-7.244604492187477;56.10666666666667;3.3257475;38.311623;0.77068007
2016-01-08T13:00:00+0100;416800.0;238800.0;-7.088079833984352;41.19111111111111;3.1539366;49.181217;0.77040523
2016-01-08T14:00:00+0100;392400.0;238400.0;-7.092687988281227;23.68;3.280624;47.300774;0.76622427
2016-01-08T15:00:00+0100;272800.0;132800.0;-7.463232421874977;1.84;3.5664616;45.258595;0.77179307
2016-01-08T16:00:00+0100;249600.0;117600.0;-7.686682128906227;0.0;3.5642033;33.711655;0.7660535
2016-01-08T17:00:00+0100;239200.0;109200.0;-7.711096191406227;0.0;3.3525176;38.176636;0.775865
2016-01-08T18:00:00+0100;238800.0;108800.0;-7.726477050781227;0.0;3.9898047;34.980656;0.78282315
2016-01-08T19:00:00+0100;232800.0;110800.0;-7.689093017578102;0.0;3.7194998;35.433876;0.7955948
2016-01-08T20:00:00+0100;178400.0;108400.0;-7.293798828124977;0.0;3.6165607;36.58304;0.79321486
2016-01-08T21:00:00+0100;182800.0;110800.0;-7.244818115234352;1.6584800662429916e-14;3.637346;38.817406;0.7900872
2016-01-08T22:00:00+0100;173600.0;109600.0;-7.338476562499977;1.658084549290469e-14;3.4997072;33.886795;0.77443
2016-01-08T23:00:00+0100;166800.0;110800.0;-7.488531494140602;1.6588736557249856e-14;3.6100376;34.411552;0.77935857
2016-01-09T00:00:00+0100;164000.0;112000.0;-7.609686279296852;1.658081079843517e-14;3.5842245;34.659214;0.7794045
2016-01-09T01:00:00+0100;166400.0;110400.0;-7.620123291015602;1.6588767396778317e-14;3.873194;35.398117;0.7774968
2016-01-09T02:00:00+0100;166400.0;112400.0;-7.587530517578102;1.659666231606454e-14;3.825107;39.91811;0.77679443
2016-01-09T03:00:00+0100;168000.0;112000.0;-7.587164306640602;1.6600590501002362e-14;3.8626816;43.360035;0.7734077
2016-01-09T04:00:00+0100;167200.0;115200.0;-7.672949218749977;1.6604530250763362e-14;4.1939573;39.9114;0.7687691
2016-01-09T05:00:00+0100;171600.0;115600.0;-7.838934326171852;1.6612421315108527e-14;3.6581025;40.03024;0.7674258
2016-01-09T06:00:00+0100;166400.0;114400.0;-7.917059326171852;1.6620285394866287e-14;3.8753438;42.380257;0.76434416
